team,wins,losses,ties,record,games_played,fg_made,fg_att,fg_missed,fg_blocked,fg_long,field_goal_percentage,winning_percentage
NYJ,3,14,0,3-14,17,28,29,1,0,58,0.9655172413793104,0.17647058823529413
IND,8,9,0,8-9,17,34,36,2,0,60,0.9444444444444444,0.47058823529411764
MIN,9,8,0,9-8,17,33,35,2,0,62,0.9428571428571428,0.5294117647058824
MIA,7,10,0,7-10,17,27,29,2,0,54,0.9310344827586207,0.4117647058823529
LAC,11,6,0,11-6,17,38,41,3,0,59,0.926829268292683,0.6470588235294118
HOU,12,5,0,12-5,17,48,52,3,1,57,0.9230769230769231,0.7058823529411765
SF,12,5,0,12-5,17,33,36,2,1,59,0.9166666666666666,0.7058823529411765
BUF,12,5,0,12-5,17,19,21,2,0,52,0.9047619047619048,0.7058823529411765
CIN,6,11,0,6-11,17,25,28,3,0,63,0.8928571428571429,0.35294117647058826
CLE,5,12,0,5-12,17,24,27,3,0,55,0.8888888888888888,0.29411764705882354
NYG,4,13,0,4-13,17,23,26,3,0,55,0.8846153846153846,0.23529411764705882
JAX,13,4,0,13-4,17,30,34,4,0,68,0.8823529411764706,0.7647058823529411
BAL,8,9,0,8-9,17,30,34,4,0,52,0.8823529411764706,0.47058823529411764
DEN,14,3,0,14-3,17,28,32,3,1,57,0.875,0.8235294117647058
KC,6,11,0,6-11,17,33,38,5,0,59,0.868421052631579,0.35294117647058826
DAL,7,9,1,7-9-1,17,36,42,6,0,64,0.8571428571428571,0.4411764705882353
SEA,14,3,0,14-3,17,41,48,6,1,57,0.8541666666666666,0.8235294117647058
CHI,11,6,0,11-6,17,33,39,4,2,54,0.8461538461538461,0.6470588235294118
PIT,10,7,0,10-7,17,27,32,4,1,60,0.84375,0.5882352941176471
NE,14,3,0,14-3,17,27,32,4,1,59,0.84375,0.8235294117647058
TB,8,9,0,8-9,17,32,38,3,3,65,0.8421052631578947,0.47058823529411764
CAR,8,9,0,8-9,17,24,29,4,1,57,0.8275862068965517,0.47058823529411764
GB,9,7,1,9-7-1,17,28,34,5,1,61,0.8235294117647058,0.5588235294117647
ATL,8,9,0,8-9,17,32,39,4,3,56,0.8205128205128205,0.47058823529411764
LV,3,14,0,3-14,17,22,27,4,1,60,0.8148148148148148,0.17647058823529413
TEN,3,14,0,3-14,17,29,36,6,1,58,0.8055555555555556,0.17647058823529413
DET,9,8,0,9-8,17,27,34,5,2,59,0.7941176470588235,0.5294117647058824
LA,12,5,0,12-5,17,22,28,4,2,52,0.7857142857142857,0.7058823529411765
WAS,5,12,0,5-12,17,23,30,7,0,56,0.7666666666666667,0.29411764705882354
ARI,3,14,0,3-14,17,25,33,7,1,57,0.7575757575757576,0.17647058823529413
PHI,11,6,0,11-6,17,20,27,7,0,58,0.7407407407407407,0.6470588235294118
NO,6,11,0,6-11,17,30,42,12,0,57,0.7142857142857143,0.35294117647058826
